English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish,Hungarian,Basque,Finnish,Estonian,Czech,Slovak,Hmong,Polish,Lingala,Igbo,Yoruba,Malay,Sundanese,Northern Uzbek,Algerian Arabic,Moroccan Arabic,Sindhi,Saraiki,Jin,Min Nan,Hakka,Xiang,Mongolian,Burmese,Odia,Nepali,Malayalam,Ukrainian,Greek
burn (brightly) (v.),መቃጠል (mäqaṭṭäl),حرق (ḥaraq),قُونِيوَا (ƙonewa),احترق (iḥtaraʾ),حَرَقَ (ḥaraqa),حرق (ḥarag),𤓁 (đốt),bakar,ꦏꦺꦴꦧꦺꦴꦁ (kobong),ᜐᜓᜈᜓᜄ᜔ (sunog),ಉರಿಯುವುದು (uriyuvudu),எரிதல் (erital),కాలడం (kālaḍaṁ),পোড়া (pōṛa),बरल (baral),burn,brûler,બળવું (baḷvũ),जलना (jalnā),سوختن (suxtan),bruciare,जळणे (j̈aḷṇe),arder,горе́ть (gorétʹ),quemar,brennen,جلنا (jalnā),جلنا (jalnā),燃える (moeru),타다 (tada),เผา (phao),كُواكَا (kuwaka),燒 (shāo),燒 (sáu),燒 (sīu),يانمق (yanmak),𐲋𐲍𐲛𐲒 (égni),erre,palaa,põlema,hořet,horieť,𖬔𖬰𖬝𖬵 (hlawv),płonąć,kopela,ịgba ọkụ,جُـواْ (jó),مڽالا (menyala),ᮠᮥᮛᮥᮀ (hurung),ёнмоқ (yonmoq),تحرق (tḥrəq),حرق (ḥṛəq),ٻرڻ (b̤araṇu),ٻلݨ (b̤alaṇ),燒 (shāo),𤏲 (to̍h),燒 (sêu),燒 (sāo),ᠰᠢᠲᠠᠬᠤ (sitakhu),လောင် (laung),ଜଳିବା (jaḷibā),बल्नु (balnu),കത്തുക (kattuka),горіти (hority),καίγομαι (kaígomai)
path,መንገድ (mängäd),طريق (ṭarīq),هَنْيَا (hanya),طريق (ṭarīʾ),طَرِيق (ṭarīq),طريق (ṭarīg),塘 (đường),jalan,ꦢꦭꦤ꧀ (dalan),ᜇᜀᜈ᜔ (daan),ಹಾದಿ (hādi),சாலை (cālai),బాట (bāṭa),পথ (poth),डहर (ḍahar),path,route,રસ્તો (rasto),सड़क (saṛak),راه (râh),strada,रस्ता (rastā),estrada,доро́га (doróga),camino,Straße,سڑک (saṛak),راہ (rāh),道 (michi),길 (gil),ทาง (thang),نـجِيَا (njia),路 (lù),路 (lu),路 (lòuh),يول (yol),𐲩𐲦 (út),bide,tie,tee,cesta,cesta,𖬖𖬝 (kev),ścieżka,nzɛlá,ụzọ,عُونَا (ọ̀nà),جالن (jalan),ᮏᮜᮔ᮪ (jalan),йўл (yoʻl),طريق (ṭrīq),طريق (ṭrīq),دڳ (dag̈u),راہ (rāh),路 (lóu),路 (lō͘),路 (lu),路 (lù),ᠵᠠᠮ (jam),လမ်း (lan),ବାଟ (bāṭa),बाटो (bāṭo),വഴി (vaḻi),стежка (stežka),μονοπάτι (monopáti)
mountain,ተራራ (tärara),جبل (gabal),دُوصِي (dutse),جبل (jabal),جَبَل (jabal),جبل (jabal),𡶀 (núi),gunung,ꦒꦸꦤꦸꦁ (gunung),ᜊᜓᜈ᜔ᜇᜓᜃ᜔ (bundok),ಪರ್ವತ (parvata),மலை (malai),కొండ (koṇḍa),পাহাড় (pahaṛ),पहाड़ (pahāṛ),mountain,montagne,પહાડ (pahāḍ),पहाड़ (pahāṛ),کوه (kuh),montagna,डोंगर (ḍoṅgar),montanha,гора́ (gorá),montaña,Berg,پہاڑ (pahāṛ),پہاڑ (pahāṛ),山 (yama),산 (san),ภูเขา (phukhao),ملِيمَا (mlima),山 (shān),山 (sé),山 (sāan),طاغ (dağ),𐲏𐲈𐲎 (hegy),mendi,vuori,mägi,hora,hora,𖬪𖬰𖬦𖬵 (roob),góra,ngómbá,ugwu,عُواْكَی (òkè),ݢونوڠ (gunung),ᮌᮥᮔᮥᮀ (gunung),тоғ (togʻ),جبل (žbəl),جبل (žbəl),جبل (jabalu),روہ (roh),山 (sān),山 (soaⁿ),山 (sân),山 (sān),ᠠᠭᠤᠯᠠ (aghula),တောင် (taung),ପାହାଡ଼ (pāhāṛa),पहाड (pahāḍ),മല (mala),гора (hora),βουνό (vounó)
red,ቀይ (qäyy),احمر (aḥmar),جَا (ja),أحمر (aḥmar),أَحْمَر (aḥmar),أحمر (aḥmar),𧹯 (đỏ),merah,ꦲꦧꦁ (abang),ᜉᜓᜎ (pula),ಕೆಂಪು (kempu),சிவப்பு (civappu),ఎర్ర (erra),লাল (lal),लाल (lāl),red,rouge,લાલ (lāl),लाल (lāl),سرخ (sorx),rosso,लाल (lāl),vermelho,кра́сный (krásnyj),rojo,rot,سرخ (surkh),سُوہا (sūhā),赤い (akai),빨갛다 (ppalgata),แดง (daeng),ڽيكُندُ (nyekundu),紅 (hóng),紅 (ghon),紅 (hùhng),قرمزى (kırmızı),𐲡𐲒𐲣𐲝𐲤 (piros),gorri,punainen,punane,červený,červený,𖬬𖬰𖬕𖬵 (liab),czerwony,motáné,ọbara ọbara,پُوپَا (pupa),ميره (merah),ᮘᮩᮛᮩᮙ᮪ (beureum),қизил (qizil),أحمر (aḥmər),حمر (ḥməṛ),ڳاڙهو (g̈āṛho),رتا (rattā),紅 (hōng),紅 (âng),紅 (fùng),紅 (hóng),ᠤᠯᠠᠭᠠᠨ (ulaghan),နီ (ni),ନାଲି (nāli),रातो (rāto),ചുവപ്പ് (cuvappŭ),червоний (červonyj),κόκκινος (kókkinos)
green,አረንጓዴ (ärängwade),اخضر (akhḍar),كُورِي (kore),أخضر (akhḍar),أَخْضَر (akhḍar),أخضر (akhḍar),青 (xanh),hijau,ꦲꦶꦗꦺꦴ (ijo),ᜎᜓᜈ᜔ᜆᜒᜀᜈ᜔ (luntian),ಹಸಿರು (hasiru),பச்சை (paccai),పచ్చ (pacca),সবুজ (śobuj),हरीयर (harīyar),green,vert,લીલું (līlũ),हरा (harā),سبز (sabz),verde,हिरवं (hirvaṁ),verde,зелёный (zeljónyj),verde,grün,سبز (sabz),ہَرا (harā),緑 (midori),초록빛이다 (chorok-bichida),เขียว (khiao),كِيجَانِ (kijani),綠 (lǜ),綠 (loq),綠 (lùhk),يشيل (yeşil),𐲮𐲟𐲘𐲅 (zöld),orlegi,vihreä,roheline,zelený,zelený,𖬪𖬰𖬦 (ntsuab),zielony,mobésu,ndụ ndụ,أَوُـو عَٜوَٜی (àwọ̀ ewé),هيجاو (hijau),ᮠᮦᮏᮧ (héjo),яшил (yashil),أخضر (aḫḍər),خضر (ḫḍəṛ),سائو (sāu),ساوا (sāwā),綠 (lûeq),青 (chhiⁿ),青 (chhiâng),青 (cīn),ᠨᠣᠭᠣᠭᠠᠨ (nogoghan),စိမ်း (sein),ଶାଗୁଆ (śāguā),हरियो (hariyo),പച്ച (pacca),зелений (zelenyj),πράσινος (prásinos)
yellow,ቢጫ (bič̣a),اصفر (aṣfar),رَوْيَا (rawaya),أصفر (aṣfar),أَصْفَر (aṣfar),أصفر (aṣfar),𦏽 (vàng),kuning,ꦏꦸꦤꦶꦁ (kuning),ᜇᜒᜎᜏ᜔ (dilaw),ಹಳದಿ (haḷadi),மஞ்சள் (mañcaḷ),పసుపు (pasupu),হলুদ (holud),पीयर (pīyar),yellow,jaune,પીળું (pīḷũ),पीला (pīlā),زرد (zard),giallo,पिवळं (pivaḷaṁ),amarelo,жёлтый (žóltyj),amarillo,gelb,پیلا (pīlā),پِیلؕا (pīḷā),黄色い (kiiroi),노랗다 (norata),เหลือง (lueang),مَنْجَانُو (manjano),黃 (huáng),黃 (waon),黃 (wòhng),صارى (sarı),𐲤𐲁𐲣𐲍𐲀 (sárga),hori,keltainen,kollane,žlutý,žltý,𖬖𖬲𖬚 (daj),żółty,bondɔbɔ́,edo edo,أَوُـو عُواْدُـواْدُـواْ (àwọ̀ òdòdó),كونيڠ (kuning),ᮊᮧᮔᮦᮀ (konéng),сариқ (sariq),صفر (ṣfər),صفر (ṣfəṛ),پيلو (pīlo),پیلا (pīlā),黃 (huāng),黃 (n̂g),黃 (vòng),黃 (wáng),ᠰᠢᠷ᠎ᠠ (sira),ဝါ (wa),ହଳଦିଆ (haḷadiā),पहेँलो (pahẽlo),മഞ്ഞ (mañña),жовтий (žovtyj),κίτρινος (kítrinos)
white,ነጭ (näč̣č̣),ابيض (abyaḍ),فَرِي (fari),أبيض (abyaḍ),أَبْيَض (abyaḍ),أبيض (abyaḍ),𤽸 (trắng),putih,ꦥꦸꦠꦶꦃ (putih),ᜉᜓᜆᜒ (puti),ಬಿಳಿ (biḷi),வெள்ளை (veḷḷai),తెల్ల (tella),সাদা (śada),उज्जर (ujjar),white,blanc,સફેદ (saphed),सफ़ेद (safed),سفید (sefid),bianco,पांढरं (pāṇḍharaṁ),branco,бе́лый (bélyj),blanco,weiß,سفید (safed),چِٹا (ciṭṭā),白い (shiroi),하얗다 (hayata),ขาว (khao),ڽيُپِي (nyeupe),白 (bái),白 (baq),白 (bàahk),بياض (beyaz),𐲊𐲈𐲏𐲋𐲣 (fehér),zuri,valkoinen,valge,bílý,biely,𖬔𖬰𖬝𖬵 (dawb),biały,mpɛ́mbɛ,ọcha,فُنْفُنْ (funfun),ڤوتيه (putih),ᮘᮧᮓᮞ᮪ (bodas),оқ (oq),أبيض (abyəḍ),بيض (byəḍ),اڇو (acho),چٹا (ciṭṭā),白 (bêq),白 (pe̍h),白 (pha̍k),白 (bé),ᠴᠠᠭᠠᠨ (chaghan),ဖြူ (hpyu),ଧଳା (dhaḷā),सेतो (seto),വെളുപ്പ് (veḷuppŭ),білий (bilyj),άσπρος (áspros)
black,ጥቁር (ṭəqur),اسود (aswad),بَقِي (baƙi),أسود (aswad),أَسْوَد (aswad),أسود (aswad),𪓇 (đen),hitam,ꦲꦶꦫꦼꦁ (ireng),ᜁᜆᜒ᜙᜔ (itim),ಕಪ್ಪು (kappu),கருப்பு (karuppu),నల్ల (nalla),কালো (kalō),करिया (kariyā),black,noir,કાળું (kāḷũ),काला (kālā),سیاه (siyâh),nero,काळं (kāḷaṁ),preto,чёрный (čórnyj),negro,schwarz,سیاہ (siyāh),کالؕا (kāḷā),黒い (kuroi),까맣다 (kkamah-ta),ดำ (dam),ڽيُسِ (nyeusi),黑 (hēi),黑 (heq),黑 (hāk),سیاه (siyah),𐲊𐲈𐲗𐲈𐲦𐲈 (fekete),beltz,musta,must,černý,čierny,𖬌𖬰𖬝 (dub),czarny,moíndo,oji,دُدُ (dudu),هيتم (hitam),ᮠᮤᮓᮩᮀ (hideung),қора (qora),كحل (kḥəl),كحل (kḥəl),ڪارو (kāro),کالا (kālā),黑 (hěq),烏 (o͘),烏 (vû),乌 (ū),ᠬᠠᠷ᠎ᠠ (khara),နက် (net),କଳା (kaḷā),कालो (kālo),കറുപ്പ് (kaṟuppŭ),чорний (čornyj),μαύρος (mávros)
night,ሌሊት (lelit),ليل (lēl),دَرِي (dare),ليل (lēl),لَيْل (layl),ليلة (lēla),𡖵 (đêm),malam,ꦮꦼꦔꦶ (wengi),ᜄᜊᜒ (gabi),ರಾತ್ರಿ (rātri),இரவு (iravu),రేయి (rēyi),রাত (rat),रात (rāt),night,nuit,રાત (rāt),रात (rāt),شب (šab),notte,रात्र (rātra),noite,ночь (nočʹ),noche,Nacht,رات (rāt),رات (rāt),夜 (yoru),밤 (bam),กลางคืน (klangkhuen),اُسِيكُ (usiku),夜晚 (yèwǎn),夜裏 (ya li),夜晚 (yèh máahn),گيجه (gece),𐲋𐲔𐲥𐲀𐲖𐲀 (éjszaka),gau,yö,öö,noc,noc,𖬔𖬰𖬦𖬵𖬌𖬰𖬝 (tsaus ntuj),noc,butú,abalị,عُواْرُ (òru),مالم (malam),ᮕᮩᮒᮤᮀ (peuting),тун (tun),ليل (līl),ليل (līl),رات (rāti),رات (rāt),黑夜 (hěq yé),暗暝 (àm-mî),暗晡夜 (am-pû-ya),夜边子 (yè-biān-tsǐ),ᠰᠥᠨᠢ (söni),ည (nya),ରାତି (rāti),रात (rāt),രാത്രി (rātri),ніч (nič),νύχτα (nýchta)
hot,ትኩስ (təkus),سخن (sukhn),مَيْ زَفِي (mai zafi),سخن (sukhun),حَارّ (ḥārr),حار (ḥārr),𤐄 (nóng),hangat,ꦥꦤꦱ꧀ (panas),᜙ᜁᜈᜒᜆ᜔ (mainit),ಬಿಸಿ (bisi),வெக்கை (vekkai),వేడి (vēḍi),গরম (gorom),तातल (tātal),hot,chaud,ગરમ (garam),गर्म (garm),گرم (garm),caldo,गरम (garam),quente,тёплый (tjóplyj),caliente,heiß,گرم (garm),گرم (garam),熱い (atsui),덥다 (deopda),ร้อน (ron),مُوتُو (moto),熱 (rè),熱 (gniq),熱 (yìht),صيجاق (sıcak),𐲚𐲈𐲘𐲈𐲍 (meleg),bero,lämmin,soe,horký,horúci,𖬌𖬰𖬝 (kub),gorący,mɔ́tɔ,ọkụ ọkụ,ڠُـواْنَا (gbóná),ڤانس (panas),ᮕᮔᮞ᮪ (panas),иссиқ (issiq),سخون (sḫūn),سخون (sḫūn),تتو (tato),تتّا (tattā),熱 (rêq),燒 (sio),熱 (ngie̍t),熱 (yé),ᠬᠠᠯᠠᠭᠤᠨ (khalaghun),ပူ (pu),ଗରମ (garama),तातो (tāto),ചൂട് (cūṭŭ),гарячий (harjačyj),ζεστός (zestós)
cold,ቀዝቃዛ (qäzqazza),برد (bard),مَيْ سَنْيِي (mai sanyi),بارد (bārid),بَارِد (bārid),بارد (bārid),冷 (lạnh),dingin,ꦲꦝꦼꦩ꧀ (adhem),᜙ᜎ᜙ᜒᜄ᜔ (malamig),ತಣ್ಣಗೆ (taṇṇage),குளிர்ச்சி (kuḷircci),చల్లని (callani),ঠান্ডা (ṭhanḍa),ठंडा (ṭhaṇḍā),cold,froid,ઠંડું (ṭhaṇḍũ),ठंडा (ṭhaṇḍā),سرد (sard),freddo,गार (gār),frio,холо́дный (xolódnyj),frío,kalt,سرد (sard),ٹھنڈا (ṭhaṇḍā),寒い (samui),춥다 (chupda),หนาว (nao),بَرِيدِ (baridi),冷 (lěng),冷 (lan),凍 (dùng),صوغوق (soğuk),𐲏𐲒𐲅𐲈𐲍 (hideg),hotz,kylmä,külm,studený,studený,𖬪𖬦 (no),zimny,mpíɔ,oyi,تُتُ (tutù),سجوق (sejuk),ᮒᮤᮄᮞ᮪ (tiis),совуқ (sovuq),بارد (bārəd),بارد (bārəd),ٿڌو (thaddho),ٹھڈھا (ṭhaḍhā),冷 (lèng),冷 (léng),凍 (tung),冷 (lěng),ᠬᠦᠢᠲᠡᠨ (küiten),အေး (aye),ଥଣ୍ଡା (thaṇḍā),चिसो (ciso),തണുപ്പ് (taṇuppŭ),холодний (xolodnyj),κρύος (krýos)
full,ሙሉ (mulu),مليان (malyān),چِكِكِّي (cikakke),مليان (malān),مُمتَلِئ (mumtaliʾ),مليان (malyān),𣊄 (đầy),penuh,ꦏꦼꦧꦏ꧀ (kebak),ᜉᜓᜈᜓ (puno),ತುಂಬು (tumbu),முழு (muḻu),నిండు (niṇḍu),ভরা (bhora),भरल (bharal),full,plein,ભરેલું (bharelũ),पूरा (pūrā),پر (por),pieno,संपूर्ण (sampūrṇa),cheio,по́лный (pólnyj),lleno,voll,پورا (pūrā),بھَریا (bhareyā),満ちた (michita),가득하다 (gadeukada),เต็ม (tem),كُجَاأ (kujaa),滿 (mǎn),滿 (moe),滿 (múhn),طولو (dolu),𐲦𐲈𐲘𐲒 (teli),bete,täysi,täis,plný,plný,𖬌𖬰𖬝 (puv),pełny,kotonda,ịju eju,كُنْ (kún),ڤنوه (penuh),ᮕᮤᮔᮥᮂ (pinuh),тўла (toʻla),معمر (mʿəmmər),عامر (ʿāməṛ),ڀريلُ (bharyalu),بھریا (bharyā),滿 (màn),滿 (moá),滿 (mán),滿 (mǎn),ᠳᠡᠭᠦᠷᠡᠩ (degüreng),ပြည့် (pyi),ଭର୍ତ୍ତି (bhartti),भरी (bharī),നിറഞ്ഞ (niṟañña),повний (povnyj),γεμάτος (gemátos)
new,አዲስ (addis),جديد (gidīd),سَبُو (sabo),جديد (jdīd),جَدِيد (jadīd),جديد (jadīd),𡤔 (mới),baru,ꦲꦚꦂ (anyar),ᜊᜄᜓ (bago),ಹೊಸ (hosa),புது (putu),కొత్త (kotta),নতুন (notun),नयका (naykā),new,nouveau,નવું (navũ),नया (nayā),نو (now),nuovo,नवं (navaṁ),novo,но́вый (nóvyj),nuevo,neu,نیا (nayā),نَواں (navā̃),新しい (atarashii),새롭다 (saeropda),ใหม่ (mai),مپِيَا (mpya),新 (xīn),新 (shín),新 (sān),یڭی (yeni),𐲩𐲔 (új),berri,uusi,uus,nový,nový,𖬬𖬰𖬕𖬵 (tshiab),nowy,sika,ọhụrụ,تُنْتُنْ (tuntun),بارو (baru),ᮃᮑᮁ (anyar),янги (yangi),جديد (ždīd),جديد (ždīd),نئون (na-ũ),نواں (nawā̃),新 (xīng),新 (sin),新 (sîn),新 (xīn),ᠰᠢᠨ᠎ᠡ (sine),သစ် (thit),ନୂଆ (nūā),नयाँ (nayā̃),പുതിയ (putiya),новий (novyj),νέος (néos)
good,ጥሩ (ṭəru),كويس (kuwayyis),مَيْ كَيْاو (mai kyau),منيح (mnīḥ),طَيِّب (ṭayyib),سمح (samiḥ),卒 (tốt),baik,ꦲꦥꦶꦏ꧀ (apik),ᜊᜓᜆᜒ (buti),ಒಳ್ಳೆ (oḷḷe),நல்ல (nalla),మంచి (mañci),ভালো (bhalō),नीक (nīk),good,bon,સારું (sārũ),अच्छा (acchā),خوب (xub),buono,चांगलं (cāṅglaṁ),bom,хоро́ший (xoróšij),bueno,gut,اچھا (acchā),چَنگا (caṅgā),良い (yoi),좋다 (jota),ดี (di),نـجيمَا (njema),好 (hǎo),好 (hau),好 (hóu),ايى (iyi),𐲔𐲞 (jó),on,hyvä,hea,dobrý,dobrý,𖬪𖬦𖬵 (zoo),dobry,malámu,ọma,دَارَا (dára),باءيق (baik),ᮠᮓᮦ (hadé),яхши (yaxshi),مليح (mlīḥ),مزيان (mzyān),چڱو (caṅo),چنڳا (caṅg̈ā),好 (hào),好 (hó),好 (hó),好 (hǎo),ᠰᠠᠶᠢᠨ (sayin),ကောင်း (kaung),ଭଲ (bhala),राम्रो (rāmro),നല്ല (nalla),добрий (dobryj),καλός (kalós)
round,ክብ (kəbb),مدور (midawwar),مَيْ دَائِرَا (mai da'ira),مدوّر (mdawwar),مُستَدِير (mustadīr),مدور (mudawwar),𧪇 (tròn),bulat,ꦧꦸꦤ꧀ꦝꦼꦂ (bundher),ᜊᜒᜎᜓᜄ᜔ (bilog),ಗುಂಡು (guṇḍu),உருண்ட (uruṇṭa),గుండ్రని (guṇḍrani),গোল (gōl),गोल (gol),round,rond,ગોળ (goḷ),गोल (gol),گرد (gerd),rotondo,गोल (gol),redondo,кру́глый (krúglyj),redondo,rund,گول (gol),گولؕ (gōḷ),丸い (marui),둥글다 (dunggeulda),กลม (klom),دُوَرَا (duara),圓 (yuán),圓 (yoe),圓 (yùhn),يووارلاق (yuvarlak),𐲗𐲈𐲣𐲈𐲗 (kerek),biribil,pyöreä,ümar,kulatý,okrúhly,𖬖𖬰𖬟-𖬖𖬰𖬟 (kheej-kheej),okrągły,kílíkílí,gburugburu,رُـواْبُـواْتُـواْ (roboto),بولت (bulat),ᮘᮥᮜᮩᮓ᮪ (buleud),юмалоқ (yumaloq),مدور (mdəwwər),مدور (mdəwwəṛ),گول (golu),گول (gōl),圓 (yuān),圓 (îⁿ),圓 (vièn),圓 (yüán),ᠳᠤᠭᠤᠢ (dughui),ဝိုင်း (waing),ଗୋଲ (gola),गोलो (golo),വട്ടമുള്ള (vaṭṭamuḷḷa),круглий (kruhlyj),στρογγυλός (strongylós)
dry,ደረቅ (däräq),ناشف (nāshif),بُوسَشِّي (busasshe),ناشف (nāshif),جَافّ (jāff),ناشف (nāshif),枯 (khô),kering,ꦒꦫꦶꦁ (garing),ᜆᜓᜌᜓ (tuyo),ಒಣ (oṇa),உலர்ந்த (ularnta),పొడి (poḍi),শুকনা (śukna),सूखल (sūkhal),dry,sec,સૂકું (sūkũ),सूखा (sūkhā),خشک (xošk),secco,कोरडं (korḍaṁ),seco,сухо́й (suxój),seco,trocken,خشک (khushk),سُکّا (sukkā),乾いた (kawaita),마르다 (mareuda),แห้ง (haeng),كَڤُ (kavu),乾 (gān),乾 (kóe),乾 (gōn),قورو (kuru),𐲥𐲁𐲣𐲀𐲮 (száraz),lehor,kuiva,kuiv,suchý,suchý,𖬪𖬰𖬒 (qhuav),suchy,kokauka,ịkpo nkụ,ڠَِـی (gbẹ),كريڠ (kering),ᮌᮛᮤᮀ (garing),қуруқ (quruq),ناشف (nāšəf),ناشف (nāšəf),سڪل (sukalu),سکا (sukkā),干 (gān),焦 (ta),燥 (châu),乾 (kān),ᠬᠠᠤᠷᠠᠢ (khaurai),ခြောက် (chauk),ଶୁଖିଲା (śukhilā),सुक्खा (sukkhā),ഉണങ്ങിയ (uṇaṅṅiya),сухий (suxyj),ξερός (xerós)
name,ስም (səm),اسم (ism),سُونَا (suna),اسم (ism),اِسْم (ism),إسم (ism),𠸛 (tên),nama,ꦗꦼꦤꦼꦁ (jeneng),ᜅᜎᜈ᜔ (ngalan),ಹೆಸರು (hesaru),பெயர் (peyar),పేరు (pēru),নাম (nam),नाँव (nā̃v),name,nom,નામ (nām),नाम (nām),اسم (esm),nome,नाव (nāv),nome,и́мя (ímja),nombre,Name,نام (nām),ناں (nā̃),名 (na),이름 (ireum),ชื่อ (chue),جِينَا (jina),名字 (míngzi),名頭 (min deu),名 (méng),آد (ad),𐲛𐲋𐲬 (név),izen,nimi,nimi,jméno,meno,𖬖𖬤 (npe),imię,nkómbó,aha,عُواْرُكُـو (orúkọ),نام (nama),ᮍᮛᮔ᮪ (ngaran),от (ot),سم (səm),سمية (smīya),نالو (nālo),ناں (nā̃),名字 (mīngzi),名 (miâ),名字 (miàng-sṳ),名字 (mín-tsǐ),ᠨᠡᠷ᠎ᠡ (nere),နာမည် (na-me),ନାଁ (nā̃),नाम (nām),പേര് (pērŭ),ім’я (im’ja),όνομα (ónoma)
